ID;name;dateOfBirth;placeOfBirth;dateOfDeath;placeOfDeath;alive
1;Herman Melville;1819-08-01;New York City, New York;1891-09-28;New York City, New York;0
101;Emily Brontë;1818-07-30;Thornton, Yorkshire;1848-12-19;Haworth, Yorkshire;0
107;Charlotte Brontë;1818-04-21;Thornton, Yorkshire;1855-03-31;Haworth, Yorkshire;0
150;Edgar Allen Poe;1809-01-19;Boston, Massachusetts;1849-10-07;Baltimore, Maryland;0
170;Richard Carpenter;1929-08-14;King’s Lynn, Norfolk;2012-02-26;Hertfordshire, England;0
180;Sebastian Fitzek;1971-10-13;Berlin;;;1
